sede_id,nucleo,tipo,tipo_sigla,nombre,zona_territorial,tipo_territorio,codigo_territorio,territorio,barrio_vereda,caracter,confianza,observacion_tecnica,estado,qr_url,map_x,map_y
MED-914-024,914,Sección Escuela,SEC,SEC ESC NUEVO HORIZONTE 2,Zona Nororiental,Comuna,1,Popular,Nuevo Horizonte,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-914-024#registro,64,18
MED-914-025,914,Sección Escuela,SEC,SEC ESC PAULO VI,Zona Nororiental,Comuna,1,Popular,Nuevo Horizonte,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-914-025#registro,64,18
MED-914-026,914,Sección Escuela,SEC,SEC ESC SANTO DOMINGO SAVIO,Zona Nororiental,Comuna,1,Popular,Santo Domingo Savio,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-914-026#registro,64,18
MED-915-001,915,Institución Educativa,IE,INST EDUC ASIA IGNACIANA,Zona Nororiental,Comuna,2,Santa Cruz,La Frontera,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-915-001#registro,55,18
MED-915-002,915,Institución Educativa,IE,INST EDUC BARRIO SANTA CRUZ,Zona Nororiental,Comuna,2,Santa Cruz,Santa Cruz,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-915-002#registro,55,18
MED-915-003,915,Institución Educativa,IE,INST EDUC CIRO MENDIA,Zona Nororiental,Comuna,2,Santa Cruz,Moscú #1,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-915-003#registro,55,18
MED-915-004,915,Institución Educativa,IE,INST EDUC EL PLAYON,Zona Nororiental,Comuna,2,Santa Cruz,El Playón de los Comuneros,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-915-004#registro,55,18
MED-915-005,915,Institución Educativa,IE,INST EDUC FE Y ALEGRIA JOSE MARIA VELAZ,Zona Nororiental,Comuna,2,Santa Cruz,La Isla,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-915-005#registro,55,18
MED-915-006,915,Institución Educativa,IE,INST EDUC FINCA LA MESA,Zona Nororiental,Comuna,2,Santa Cruz,La Frontera,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-915-006#registro,55,18
MED-915-007,915,Institución Educativa,IE,INST EDUC LA ASUNCION,Zona Nororiental,Comuna,2,Santa Cruz,Moscú #1,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-915-007#registro,55,18
MED-915-008,915,Institución Educativa,IE,INST EDUC MANUEL URIBE ÁNGEL,Zona Nororiental,Comuna,2,Santa Cruz,Andalucía,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-915-008#registro,55,18
MED-915-009,915,Institución Educativa,IE,INST EDUC PABLO NERUDA,Zona Nororiental,Comuna,2,Santa Cruz,La Rosa,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-915-009#registro,55,18
MED-915-010,915,Institución Educativa,IE,INST EDUC REPUBLICA DE HONDURAS,Zona Nororiental,Comuna,2,Santa Cruz,La Rosa,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-915-010#registro,55,18
MED-915-011,915,Institución Educativa,IE,INST EDUC SANTA TERESA,Zona Nororiental,Comuna,2,Santa Cruz,La Francia,Urbano,Alta,Fuente oficial SED Medellín.,Activa,index.html?sede=MED-915-011#registro,55,18
MED-915-012,915,Institución Educativa,IE,INST EDUC VILLA DEL SOCORRO,Zona Nororiental,Comuna,2,Santa Cruz,Villa del Socorro,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-915-012#registro,55,18
MED-915-013,915,Sección Escuela,SEC,SEC ESC ARZOBISPO GARCIA,Zona Nororiental,Comuna,2,Santa Cruz,Moscú #1,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-915-013#registro,55,18
MED-915-014,915,Sección Escuela,SEC,SEC ESC ASIA IGNACIANA,Zona Nororiental,Comuna,2,Santa Cruz,La Frontera,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-915-014#registro,55,18
MED-915-015,915,Sección Escuela,SEC,SEC ESC FIDEL A. SALDARRIAGA,Zona Nororiental,Comuna,2,Santa Cruz,Villa del Socorro,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-915-015#registro,55,18
MED-915-016,915,Sección Escuela,SEC,SEC ESC GERARDO DAVID GIRALDO,Zona Nororiental,Comuna,2,Santa Cruz,La Francia,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-915-016#registro,55,18
MED-915-017,915,Sección Escuela,SEC,SEC ESC JUAN BAUTISTA MONTINI,Zona Nororiental,Comuna,2,Santa Cruz,Pablo VI,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-915-017#registro,55,18
MED-915-018,915,Sección Escuela,SEC,SEC ESC LA FRANCIA,Zona Nororiental,Comuna,2,Santa Cruz,La Francia,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-915-018#registro,55,18
MED-915-019,915,Sección Escuela,SEC,SEC ESC LA FRONTERA,Zona Nororiental,Comuna,2,Santa Cruz,La Frontera,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-915-019#registro,55,18
